antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'suki  shoulder bag', 'jam making set printed'})",frozenset({'dotcom postage'}),0.010714110188234137,0.03479628446454023,0.010271784538261169,0.9587155963302753,27.552240449904108,1.0,0.009898973312366945,23.379378887414486,0.9741423797368218,0.29149232914923295,0.957227264042574,0.6269566682216348
"frozenset({'regency tea plate pink', 'regency tea plate roses'})",frozenset({'regency tea plate green'}),0.013220622204747628,0.01872511918218902,0.012532560082567454,0.9479553903345725,50.6247987588912,1.0,0.01228500235612086,18.854495924285104,0.9933799358970602,0.6455696202531646,0.9469622521855929,0.8086233644586249
frozenset({'herb marker thyme'}),frozenset({'herb marker rosemary'}),0.011647908782621516,0.01179535066594584,0.01086155207155846,0.9324894514767933,79.05567862165964,1.0,0.01072416090294249,14.637781368260688,0.9989867943505292,0.8632812499999999,0.9316836360072768,0.9266613924050633
"frozenset({'wooden tree christmas scandinavian', 'wooden heart christmas scandinavian'})",frozenset({'wooden star christmas scandinavian'}),0.012237676315918808,0.02516341475401779,0.011353025015972872,0.9277108433734941,36.86744634789157,1.0,0.011045083291209986,13.485239429236104,0.9849290424969597,0.4358490566037737,0.9258448464895631,0.6894413591867471
frozenset({'herb marker rosemary'}),frozenset({'herb marker thyme'}),0.01179535066594584,0.011647908782621516,0.01086155207155846,0.9208333333333333,79.05567862165964,1.0,0.01072416090294249,12.484447468008982,0.99913584494898,0.8632812499999999,0.9199003397977789,0.9266613924050633
"frozenset({'woodland charlotte bag', 'charlotte bag pink polkadot', 'strawberry charlotte bag'})",frozenset({'red retrospot charlotte bag'}),0.012925738438098983,0.05081830245244999,0.011893645254828722,0.9201520912547528,18.10670657713777,1.0,0.011236781169460149,11.887370783571695,0.957143633104597,0.2293838862559242,0.9158771087226457,0.577097322223121
"frozenset({'woodland charlotte bag', 'charlotte bag pink polkadot', 'charlotte bag suki design', 'strawberry charlotte bag'})",frozenset({'red retrospot charlotte bag'}),0.010910699365999902,0.05081830245244999,0.010026048066053964,0.9189189189189189,18.082440273929635,1.0,0.009471584845704826,11.706574269753109,0.9551187431494336,0.19391634980988595,0.9145779134905629,0.558105494275707
"frozenset({'regency tea plate pink', 'regency tea plate green'})",frozenset({'regency tea plate roses'}),0.013662947854720598,0.021870546026441243,0.012532560082567454,0.9172661870503597,41.94070810767117,1.0,0.012233743952653921,11.822608182810836,0.9896787455826418,0.5448717948717949,0.915416295242371,0.7451499474577641
frozenset({'regency tea plate pink'}),frozenset({'regency tea plate green'}),0.014989924804639504,0.01872511918218902,0.013662947854720598,0.9114754098360657,48.676614603502436,1.0,0.013382259726221672,11.08477180183084,0.9943616606565062,0.681372549019608,0.9097861446426139,0.8205671012434922
"frozenset({'regency cakestand 3 tier', 'roses regency teacup and saucer', 'pink regency teacup and saucer'})",frozenset({'green regency teacup and saucer'}),0.01626775446011697,0.04988450385806261,0.01479333562687374,0.9093655589123867,18.229419731222002,1.0,0.01398182676674602,10.482940974099373,0.9607732418716189,0.2880382775119617,0.9046069225734705,0.6029586415251589
"frozenset({'regency tea plate green', 'roses regency teacup and saucer'})",frozenset({'regency tea plate roses'}),0.011205583132648548,0.021870546026441243,0.010173489949378287,0.9078947368421052,41.512211709047904,1.0,0.009928417727722584,10.619691214570059,0.9869702804544842,0.44420600858369097,0.905835303513532,0.686531638083974
"frozenset({'roses regency teacup and saucer', 'pink regency teacup and saucer'})",frozenset({'green regency teacup and saucer'}),0.029439229370423158,0.04988450385806261,0.02663783358726102,0.9048414023372287,18.138727106754278,1.0,0.025169272236153756,9.98454705594772,0.9735292919568855,0.5055970149253731,0.89984523139642,0.7194157750602399
"frozenset({'charlotte bag pink polkadot', 'charlotte bag suki design', 'strawberry charlotte bag'})",frozenset({'red retrospot charlotte bag'}),0.01331891679363051,0.05081830245244999,0.012041087138153045,0.904059040590406,17.79002833548645,1.0,0.011364242396195314,9.893393847514856,0.9565286604779389,0.23113207547169815,0.898922451141355,0.5705014738735396
frozenset({'herb marker parsley'}),frozenset({'herb marker rosemary'}),0.011697056077062958,0.01179535066594584,0.010566668304909814,0.903361344537815,76.58622198879551,1.0,0.010428697426721624,10.225769849630638,0.9986237794716469,0.8174904942965778,0.9022078518581053,0.8995973389355741
frozenset({'herb marker thyme'}),frozenset({'herb marker parsley'}),0.011647908782621516,0.011697056077062958,0.010468373716026933,0.89873417721519,76.83421976385492,1.0,0.010332127473816096,9.759491571239016,0.9986167627345376,0.8129770992366415,0.8975356459196117,0.8968460802042337
frozenset({'herb marker rosemary'}),frozenset({'herb marker parsley'}),0.01179535066594584,0.011697056077062958,0.010566668304909814,0.8958333333333333,76.58622198879551,1.0,0.010428697426721624,9.487708261660188,0.9987231104289725,0.8174904942965778,0.894600469110017,0.8995973389355741
"frozenset({'set/20 red retrospot paper napkins', 'set/6 red spotty paper cups'})",frozenset({'set/6 red spotty paper plates'}),0.014547599154666536,0.025900624170639406,0.013024033026981865,0.8952702702702703,34.565586696753684,1.0,0.012647241128691736,9.301077911144864,0.9854047650190129,0.47491039426523307,0.8924855796765484,0.6990582850402585
frozenset({'herb marker parsley'}),frozenset({'herb marker thyme'}),0.011697056077062958,0.011647908782621516,0.010468373716026933,0.8949579831932774,76.83421976385492,1.0,0.010332127473816096,9.409111908389447,0.9986664229246381,0.8129770992366415,0.8937200439599012,0.8968460802042337
frozenset({'herb marker rosemary'}),frozenset({'herb marker basil'}),0.01179535066594584,0.011893645254828722,0.010517521010468373,0.8916666666666666,74.97000688705234,1.0,0.010377231293991306,9.120981736109268,0.9984382618412058,0.798507462686567,0.8903626792671806,0.8879820936639118
frozenset({'herb marker parsley'}),frozenset({'herb marker mint'}),0.011697056077062958,0.01179535066594584,0.010419226421585492,0.8907563025210085,75.51757703081233,1.0,0.010281255543397302,9.045873328519423,0.9984368212111915,0.7969924812030076,0.8894523542743801,0.8870448179271709
frozenset({'herb marker parsley'}),frozenset({'herb marker basil'}),0.011697056077062958,0.011893645254828722,0.010419226421585492,0.8907563025210085,74.8934648239461,1.0,0.010280105786079068,9.044973554975034,0.9983251655834194,0.791044776119403,0.8894413572442158,0.8833946801861241
frozenset({'herb marker thyme'}),frozenset({'herb marker basil'}),0.011647908782621516,0.011893645254828722,0.01032093183270261,0.8860759493670887,74.49994769327336,1.0,0.010182395737681506,8.673378002763174,0.9982041628187824,0.7806691449814128,0.8847046675837927,0.8769222722042055
frozenset({'herb marker basil'}),frozenset({'herb marker rosemary'}),0.011893645254828722,0.01179535066594584,0.010517521010468373,0.884297520661157,74.97000688705234,1.0,0.010377231293991306,8.540911612101464,0.9985375842248756,0.798507462686567,0.8829164794794132,0.8879820936639118
frozenset({'herb marker mint'}),frozenset({'herb marker parsley'}),0.01179535066594584,0.011697056077062958,0.010419226421585492,0.8833333333333334,75.51757703081233,1.0,0.010281255543397302,8.471168090768037,0.9985361335721814,0.7969924812030076,0.8819525254032192,0.8870448179271709
frozenset({'herb marker rosemary'}),frozenset({'herb marker mint'}),0.01179535066594584,0.01179535066594584,0.010419226421585492,0.8833333333333334,74.8882638888889,1.0,0.010280096124252864,8.47032556572047,0.9984235284623492,0.791044776119403,0.8819407834750751,0.8833333333333334
frozenset({'herb marker mint'}),frozenset({'herb marker rosemary'}),0.01179535066594584,0.01179535066594584,0.010419226421585492,0.8833333333333334,74.8882638888889,1.0,0.010280096124252864,8.47032556572047,0.9984235284623492,0.791044776119403,0.8819407834750751,0.8833333333333334
"frozenset({'jumbo bag red retrospot', 'suki  shoulder bag'})",frozenset({'dotcom postage'}),0.013859537032486362,0.03479628446454023,0.012237676315918808,0.8829787234042552,25.3756611371559,1.0,0.011755415922789583,8.248104478212102,0.9740926326787338,0.33603238866396756,0.8787600226644117,0.6173368193292462
frozenset({'regency tea plate pink'}),frozenset({'regency tea plate roses'}),0.014989924804639504,0.021870546026441243,0.013220622204747628,0.8819672131147541,40.326712101676186,1.0,0.012892784364374866,8.286930096164875,0.990043214083139,0.5592515592515593,0.879328051715702,0.743230797568613
"frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer', 'pink regency teacup and saucer'})",frozenset({'roses regency teacup and saucer'}),0.01685752199341426,0.052391015874576105,0.01479333562687374,0.8775510204081634,16.750028716927673,1.0,0.013910152924510758,7.738806703690968,0.9564215063963952,0.2716606498194945,0.8707811115733053,0.579957498947046
frozenset({'herb marker basil'}),frozenset({'herb marker parsley'}),0.011893645254828722,0.011697056077062958,0.010419226421585492,0.8760330578512397,74.89346482394612,1.0,0.010280105786079068,7.972310414311697,0.9985237878496386,0.791044776119403,0.8745658475358882,0.8833946801861241
"frozenset({'regency cakestand 3 tier', 'pink regency teacup and saucer'})",frozenset({'green regency teacup and saucer'}),0.019265739421044873,0.04988450385806261,0.01685752199341426,0.8749999999999999,17.54051724137931,1.0,0.01589646014093672,7.600923969135492,0.9615134051616135,0.3223684210526315,0.868437047382578,0.6064655172413793
"frozenset({'jumbo storage bag suki', 'jumbo  bag baroque black white', 'jumbo bag pink polkadot'})",frozenset({'jumbo bag red retrospot'}),0.011598761488180075,0.10281613997149457,0.010124342654936846,0.8728813559322034,8.489730855235441,1.0,0.008931802770272142,7.057846365557577,0.8925632641750904,0.09707822808671066,0.8583137194824729,0.48567585961046117
